Address,Opcode,Category,isBranch,isControlFlow,isMemoryRead,isMemoryWrite,isCall,Read_Regsiters,Write_Registers
4234877,LEA,MISC,0,0,0,0,0,R[4],W[10]
4234880,LEA,MISC,0,0,0,0,0,R[12 10],W[5]
4234885,NOP,WIDENOP,0,0,0,0,0,R[10 10],W[]
4234888,MOVSXD,DATAXFER,0,0,1,0,0,R[12],W[10]
4234891,MOV,DATAXFER,0,0,0,0,0,R[12],W[4]
4234894,LEA,MISC,0,0,0,0,0,R[10],W[8]
4234897,MOV,DATAXFER,0,0,0,0,0,R[10],W[13]
4234900,IMUL,BINARY,0,0,0,0,0,R[13 11],W[13 25]
4234904,IMUL,BINARY,0,0,0,0,0,R[8 10],W[8 25]
4234907,MOVSXD,DATAXFER,0,0,0,0,0,R[13],W[13]
4234910,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
4234913,SHR,SHIFT,0,0,0,0,0,R[15],W[15 25]
4234917,ADD,BINARY,0,0,0,0,0,R[8 15],W[8 25]
4234920,SAR,SHIFT,0,0,0,0,0,R[8],W[8 25]
4234922,MOVSXD,DATAXFER,0,0,0,0,0,R[8],W[8]
4234925,SUB,BINARY,0,0,0,0,0,R[13 8],W[13 25]
4234928,SHL,SHIFT,0,0,0,0,0,R[13],W[13 25]
4234932,CMP,BINARY,0,0,0,0,0,R[12 14],W[25]
4234935,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4234937,MOV,DATAXFER,0,0,0,0,0,R[3],W[8]
4234940,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
4234947,LEA,MISC,0,0,0,0,0,R[13 10],W[10]
4234951,ADD,BINARY,0,0,0,0,0,R[4],W[4 25]
4234955,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
4234959,ADD,BINARY,0,0,0,0,0,R[10 9],W[10 25]
4234962,MOVSD_XMM,DATAXFER,0,0,1,0,0,R[10],W[123]
4234966,ADDSD,SSE,0,0,1,0,0,R[123 8],W[123]
4234971,MOVSD_XMM,DATAXFER,0,0,0,1,0,R[10 123],W[]
4234975,MOV,DATAXFER,0,0,0,1,0,R[8],W[]
4234983,CMP,BINARY,0,0,0,0,0,R[4 14],W[25]
4234986,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4234988,MOV,DATAXFER,0,0,0,0,0,R[7],W[10]
4234991,SHR,SHIFT,0,0,0,0,0,R[10],W[10 25]
4234995,LEA,MISC,0,0,0,0,0,R[3 10],W[3]
4235000,ADD,BINARY,0,0,0,0,0,R[12],W[12 25]
4235004,SUB,BINARY,0,0,0,0,0,R[7],W[7 25]
4235008,CMP,BINARY,0,0,0,0,0,R[5 12],W[25]
4235011,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4235013,POP,POP,0,0,1,0,0,R[6],W[7 6]
4235014,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4235016,POP,POP,0,0,1,0,0,R[6],W[5 6]
4235017,POP,POP,0,0,1,0,0,R[6],W[15 6]
4235019,RET_NEAR,RET,0,1,1,0,0,R[6],W[26 6]
4234944,MOVSXD,DATAXFER,0,0,1,0,0,R[4],W[10]
4234947,LEA,MISC,0,0,0,0,0,R[13 10],W[10]
4234951,ADD,BINARY,0,0,0,0,0,R[4],W[4 25]
4234955,ADD,BINARY,0,0,0,0,0,R[8],W[8 25]
4234959,ADD,BINARY,0,0,0,0,0,R[10 9],W[10 25]
4234962,MOVSD_XMM,DATAXFER,0,0,1,0,0,R[10],W[123]
4234966,ADDSD,SSE,0,0,1,0,0,R[123 8],W[123]
4234971,MOVSD_XMM,DATAXFER,0,0,0,1,0,R[10 123],W[]
4234975,MOV,DATAXFER,0,0,0,1,0,R[8],W[]
4234983,CMP,BINARY,0,0,0,0,0,R[4 14],W[25]
4234986,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4234988,MOV,DATAXFER,0,0,0,0,0,R[7],W[10]
4234991,SHR,SHIFT,0,0,0,0,0,R[10],W[10 25]
4234995,LEA,MISC,0,0,0,0,0,R[3 10],W[3]
4235000,ADD,BINARY,0,0,0,0,0,R[12],W[12 25]
4235004,SUB,BINARY,0,0,0,0,0,R[7],W[7 25]
4235008,CMP,BINARY,0,0,0,0,0,R[5 12],W[25]
4235011,JNZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4235013,POP,POP,0,0,1,0,0,R[6],W[7 6]
4235014,XOR,LOGICAL,0,0,0,0,0,R[10 10],W[10 25]
4235016,POP,POP,0,0,1,0,0,R[6],W[5 6]
4235017,POP,POP,0,0,1,0,0,R[6],W[15 6]
4235019,RET_NEAR,RET,0,1,1,0,0,R[6],W[26 6]
4234888,MOVSXD,DATAXFER,0,0,1,0,0,R[12],W[10]
4234891,MOV,DATAXFER,0,0,0,0,0,R[12],W[4]
4234894,LEA,MISC,0,0,0,0,0,R[10],W[8]
4234897,MOV,DATAXFER,0,0,0,0,0,R[10],W[13]
4234900,IMUL,BINARY,0,0,0,0,0,R[13 11],W[13 25]
4234904,IMUL,BINARY,0,0,0,0,0,R[8 10],W[8 25]
4234907,MOVSXD,DATAXFER,0,0,0,0,0,R[13],W[13]
4234910,MOV,DATAXFER,0,0,0,0,0,R[8],W[15]
4234913,SHR,SHIFT,0,0,0,0,0,R[15],W[15 25]
4234917,ADD,BINARY,0,0,0,0,0,R[8 15],W[8 25]
4234920,SAR,SHIFT,0,0,0,0,0,R[8],W[8 25]
4234922,MOVSXD,DATAXFER,0,0,0,0,0,R[8],W[8]
4234925,SUB,BINARY,0,0,0,0,0,R[13 8],W[13 25]
4234928,SHL,SHIFT,0,0,0,0,0,R[13],W[13 25]
4234932,CMP,BINARY,0,0,0,0,0,R[12 14],W[25]
4234935,JZ,COND_BR,1,1,0,0,0,R[26 25],W[26]
4234937,MOV,DATAXFER,0,0,0,0,0,R[3],W[8]
4234940,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
4240798,MOV,DATAXFER,0,0,1,0,0,R[17],W[10]
4240802,CMP,BINARY,0,0,0,0,0,R[5 7],W[25]
4240804,MOV,DATAXFER,0,0,0,1,0,R[10 16 7],W[]
4240808,JNLE,COND_BR,1,1,0,0,0,R[26 25],W[26]
4240814,MOV,DATAXFER,0,0,1,0,0,R[17],W[10]
4240818,JMP,UNCOND_BR,1,1,0,0,0,R[26],W[26]
4240964,MOV,DATAXFER,0,0,1,0,0,R[26],W[10]
4240971,MOV,DATAXFER,0,0,1,0,0,R[26],W[8]
